611
id mass x y z v_x v_y v_z
42 1.01 32863.392785070675 2951.2500463901542 32995.643078778645 0.12639720384809772 -0.04055479028576144 0.13274390440144385
43 0.16 -17171.651363545854 30062.87855558687 34621.413570204364 0.09679332895580375 0.18510483205850586 0.20888453121701975
44 0.1 39092.9052701901 15617.98939012253 42097.230729040086 -0.07496056224361311 0.1967279807662286 0.21052549562520026
45 1.26 -18688.49552083983 39386.9226407903 43595.75139786043 -0.01750315368821308 -0.15350656040210658 0.15450121189012989
46 0.15 24731.280912307247 10003.693810386181 26677.89619545386 -0.10297399803547515 -0.1319131825530335 0.16734614427192512
47 0.08 37224.73234284023 -5598.550501055423 37643.385417745885 0.18999661285725458 -0.08965331505739932 0.2100867197088164
48 0.42 38879.51924681348 -29817.77448970239 48997.109020656375 -0.07711141384437384 0.04241682434737435 0.0880077106439788
49 0.33 -25803.972155228126 -3342.2784176306077 26019.527359441945 0.00010659142476429174 0.040589228277621556 0.04058936823731932
50 1.53 49739.48044162453 7256.246454321627 50265.982803568106 -0.03690937848199156 -0.19226011616914565 0.19577092350321149
51 0.23 -14274.304601098816 -16231.003691509637 21614.83871507605 0.09348761423215297 0.12039154044291527 0.15242721878010487
52 0.32 28403.958164114796 -37034.51354812998 46672.69044243546 -0.21025653787627127 0.038380683161482125 0.2137308788164639
53 1.03 20827.497396901097 44488.168724968236 49122.11115494899 -0.1922718864315507 0.05440006501356544 0.19981953204185837
54 2.54 17266.4951329882 -46042.5867464157 49173.688579144844 -0.1038956964914775 0.17792191121777085 0.20603524514226573
55 0.29 4452.590495951343 44298.39205537459 44521.60263081632 0.11119075411997145 0.07727637419884627 0.13540687505104038
56 1.0 -36558.03226190698 29781.580354739013 47153.2846288401 -0.14658393805448225 -0.15034865495054542 0.20997992509046778
57 0.77 -48401.9956084652 -28538.132186100782 56188.77261120095 0.055664033780298626 0.20136241972475294 0.20891459674733548
58 0.08 46628.20794796402 31458.39864504155 56247.849930010016 -0.1337152207834498 -0.01155562153079835 0.13421360831946133
59 0.49 -47668.2420736641 -9617.220543223488 48628.71819584021 0.14912307183174592 0.004622353209005186 0.14919469394628232
60 0.25 -7171.727591968783 56612.85913918334 57065.30904644625 -0.011399845539252653 -0.07326992266796827 0.07415145343207286
61 0.97 28631.120372510028 45555.57107282309 53805.67915709451 -0.13742020285604653 -0.01822247091133311 0.13862312433036328
62 0.08 39928.492733070794 40982.78566497044 57217.770428388714 -0.07223894763731585 0.16998620809557782 0.1846991513203565
63 0.01 -14746.9491299019 -33779.12916006692 36857.863142786744 0.12859766920442361 0.14618290793044295 0.19469669513325266
64 0.14 13508.026209556157 -21569.26612306137 25449.95114269375 -0.008723251782112902 -0.07252355621677259 0.07304629578549147
65 0.14 51826.21035012103 -13240.73921877699 53490.87075674363 0.09620429075235884 0.0967352146517428 0.13642934916242602
66 0.23 -16230.672680601165 -52629.27368807851 55075.17757211034 0.20327219981139577 -0.03781140465818971 0.20675901319746467
67 3.0 28528.16830174581 -438.91550646185834 28531.544533630615 0.1556768991070743 -0.07706222659450382 0.17370631446005882
68 0.24 -13647.462814343784 8668.051935487025 16167.509567809037 -0.08702779592513955 0.17895825577113683 0.1989972225239221
69 1.13 -38157.190614236984 -28626.666962505155 47701.753185322224 -0.0075936193304222445 0.1743155426494466 0.17448086274347221
70 0.16 28646.448554750586 -11145.663127683689 30738.328213417524 -0.09046171441347695 0.18950235147462782 0.20998681622673085
71 0.6 41951.35406666097 -24009.027023350776 48335.799224118964 0.06177495371355423 -0.1685083615759134 0.1794748250516226
72 0.47 -19094.472462394 764.9360862267804 19109.788220520255 0.035587047124532534 0.047443747370249374 0.05930722626776389
73 0.49 55078.981299796425 -29857.03401163578 62650.91109469439 0.08208621540478492 -0.18814905392375078 0.20527594416268857
74 0.53 -55411.50300920124 -12043.679603908033 56705.24564923696 0.1020051943085885 0.14383704908828293 0.17633535197559796
75 0.68 30057.90626748246 -8279.59470223747 31177.386317940123 -0.09675562245349777 -0.053774242088822546 0.11069471346270832
76 0.36 26031.486780312178 -43163.565776262614 50405.67145188443 -0.16500509828290158 0.11325654600863835 0.20013427410905116
77 0.29 62441.701373553035 -6585.908586750477 62788.05827812331 0.1462266527862899 -0.08126914536378704 0.16729288082056132
78 1.33 -36447.52876342217 27716.847249007395 45789.14690606602 0.18113093810813855 0.03938406128179663 0.1853632137803578
79 0.1 -23579.49909399907 -467.2558145226783 23584.12825440254 0.16395294165020569 0.12131734739180004 0.20395701962408266
80 0.15 -47643.52614492325 12738.308292357224 49317.03642427353 -0.11549321710729556 0.1301488526161738 0.17400404315733423
81 0.29 -36296.62053436177 26230.224239109764 44782.46672358987 -0.19873859859013063 -0.05356941196016674 0.20583175767438588
82 0.38 -7157.1762868321475 -20746.629189995318 21946.475688546398 0.06051776691583729 -0.06656173008084194 0.08996034695261279
83 0.82 41581.25019893123 45889.96239052527 61926.480735707424 0.07694984926305669 0.09448914025833348 0.12185842986172997
84 0.63 -2941.9101301224455 29723.806732578927 29869.039520704737 -0.0696202323493534 0.0626666696555953 0.09367010322456927
85 0.35 34416.35878008873 3401.071690224815 34583.999773332165 -0.04779709849986708 0.19141843892904792 0.19729566996525708
86 0.19 -15019.712408695312 34989.42280330766 38076.915171118344 -0.05059375439554404 0.03643712426018177 0.06234895354525655
87 0.18 -58544.93053821145 -24785.430136792154 63575.36031191493 0.1671562063647825 -0.09683292593852182 0.19317818943162557
88 0.78 58341.319708780655 -13752.581978910377 59940.32946563447 0.18608115221307642 0.028300273447191288 0.18822088270468798
89 0.58 -9714.910754912102 20137.51289328254 22358.419365040707 -0.1294767407281123 0.15830059253679635 0.20450746682474857
90 0.14 14504.00060349271 62929.41151125461 64579.22937492318 -0.16501429824961575 -0.040732344223049825 0.16996718063413935
91 0.21 9570.948747018956 -2395.15408506448 9866.094617895413 0.1393781946750413 0.0012654463922938633 0.13938393919474898
92 0.16 -47493.570090551875 7047.779093022753 48013.64795649475 0.06591590772633964 0.046624067769511286 0.08073853223067226
93 1.03 1613.3783987553988 63595.018253546 63615.48032143135 -0.15193184882458383 -0.10234041393033093 0.18318528055137964
94 0.93 -40500.479966317114 55230.59911959613 68488.7432839265 -0.05763505675221568 -0.1296140421977364 0.14185062460795764
95 0.75 -70517.62057299058 -3196.177558450044 70590.0160239492 0.19465156158236036 0.05000553079060474 0.2009720964116699
96 0.25 -33338.61415947706 28669.96153155498 43970.78448578472 0.11143561446451344 -0.13998553383985926 0.17892413435731375
97 0.79 67169.57636168286 3986.7233212182105 67287.78456338038 -0.1641614689855369 0.05247218929342275 0.17234360605701096
98 0.36 -29054.380391313454 51871.65027407789 59454.39531337767 -0.10843290492575283 -0.033110292874568195 0.11337542222579389
99 0.21 -68873.37557242256 -11443.996756091796 69817.669142513 -0.07370196512139875 -0.1424906815627569 0.1604231092921929
100 0.12 7853.151977567084 51454.24558401529 52050.085346740045 0.03879295578472653 0.0831126834820186 0.09172028987142351
101 0.14 -7099.720673911385 -2520.0573942565893 7533.70578917919 0.10923514967740212 0.1620662604984778 0.19544255093762186
102 0.15 53539.04975711071 46171.16954131233 70697.9967587978 -0.09946763583167807 -0.13051782586539193 0.16409970580891392
103 0.15 -19525.93418743868 74268.2873083511 76792.19104575654 0.12629894774086348 -0.08488035852833985 0.15217128331044882
104 0.14 -73607.94230273255 24931.872943430484 77715.68347836727 -0.00011866223667617449 -0.10487860218125002 0.10487866930991885
105 0.09 -57679.38196065329 -53074.89728463333 78382.75208958483 0.13033041347588845 -0.003100059314277685 0.13036727750685018
106 0.58 -69945.44015913742 18001.474981358657 72224.77206997579 0.12606947781709918 -0.04906130818762638 0.13527943375900608
107 0.31 50137.02449076221 -59842.52827189495 78069.51655262019 -0.10185081018378568 -0.06852594017528625 0.12275745196117609
108 0.26 -69209.10199575803 6448.811284950396 69508.89846665779 -0.17271488922868883 -0.03659369920077759 0.17654895010301036
109 2.73 -29134.669936612965 -23788.378627434107 37612.70995338601 0.0573864486741837 0.18199782284377125 0.19083084659275468
110 0.1 45065.54441736642 63741.46721427213 78063.29442357499 -0.113451047202986 0.04460046312965449 0.12190300005674112
111 0.55 -34300.930741386604 -55912.35244914288 65595.31237918283 -0.02906359354741142 0.016596104630352382 0.033468241047159
112 0.21 43346.990260679544 18537.50595806285 47144.46618432181 0.047711400741999414 -0.09092202062671763 0.10268004477798462
113 0.08 -48731.410729088144 -32774.940494636634 58727.737195247515 -0.19264325712209338 0.016205676751000285 0.19332368834047964
